,slope_lengths,slope_percents,ls
264,150,30.0,7.88
265,200,30.0,9.76
266,250,30.0,9.76
267,300,30.0,11.01
268,400,30.0,13.3
269,600,30.0,17.37
270,800,30.0,20.99
271,1000,30.0,24.31
272,3,40.0,0.65
273,6,40.0,1.05
274,9,40.0,1.38
275,12,40.0,1.68
276,15,40.0,2.77
277,25,40.0,4.45
278,50,40.0,5.87
279,75,40.0,7.14
280,100,40.0,8.11
281,150,40.0,11.47
282,200,40.0,13.37
283,250,40.0,13.37
284,300,40.0,15.14
285,400,40.0,18.43
286,600,40.0,23.17
287,800,40.0,29.6
288,1000,40.0,34.48
289,3,50.0,0.71
290,6,50.0,1.18
291,9,50.0,1.59
292,12,50.0,1.97
293,15,50.0,3.32
294,25,50.0,5.4
295,50,50.0,7.2
296,75,50.0,8.78
297,100,50.0,10.23
298,150,50.0,14.26
299,200,50.0,16.67
300,250,50.0,16.67
301,300,50.0,18.94
302,400,50.0,23.17
303,600,50.0,30.78
304,800,50.0,37.65
305,1000,50.0,44.02
306,3,60.0,0.76
307,6,60.0,1.3
308,9,60.0,1.78
309,12,60.0,2.23
310,15,60.0,3.81
311,25,60.0,6.24
312,50,60.0,8.33
313,75,60.0,10.23
314,100,60.0,11.01
315,150,60.0,16.63
316,200,60.0,19.64
317,250,60.0,19.64
318,300,60.0,22.36
319,400,60.0,27.45
320,600,60.0,36.63
321,800,60.0,44.96
322,1000,60.0,52.7
