"zip","type","decommissioned","primary_city","acceptable_cities","unacceptable_cities","state","county","timezone","area_codes","world_region","country","latitude","longitude","irs_estimated_population"
37411,"STANDARD",0,"Chattanooga","Ridgeside","","TN","Hamilton County","America/New_York","423",NA,"US",35.03,-85.23,15170
37412,"STANDARD",0,"Chattanooga","East Ridge","","TN","Hamilton County","America/New_York","423, 706, 762",NA,"US",35,-85.23,19040
37414,"PO BOX",0,"Chattanooga","","Chatt, Chatta","TN","Hamilton County","America/New_York","423",NA,"US",35.06,-85.25,691
37415,"STANDARD",0,"Chattanooga","Red Bank","","TN","Hamilton County","America/New_York","423",NA,"US",35.12,-85.28,20420
37416,"STANDARD",0,"Chattanooga","","","TN","Hamilton County","America/New_York","423",NA,"US",35.1,-85.18,13260
37419,"STANDARD",0,"Chattanooga","","","TN","Hamilton County","America/New_York","423, 706, 762",NA,"US",35.04,-85.4,5840
37421,"STANDARD",0,"Chattanooga","","","TN","Hamilton County","America/New_York","423, 706, 762",NA,"US",35.03,-85.15,45570
37422,"PO BOX",0,"Chattanooga","","","TN","Hamilton County","America/New_York","423",NA,"US",35.06,-85.25,698
37424,"PO BOX",0,"Chattanooga","","Chatt, Chatta, Chickamauga","TN","Hamilton County","America/New_York","423",NA,"US",35.06,-85.25,657
37450,"STANDARD",0,"Chattanooga","","","TN","Hamilton County","America/New_York","423",NA,"US",35.05,-85.31,22
37501,"UNIQUE",0,"Memphis","","Internal Revenue","TN","Shelby County","America/Chicago","901",NA,"US",35.1,-90,0
37544,"UNIQUE",0,"Memphis","","Internal Revenue","TN","Shelby County","America/Chicago","901",NA,"US",35.15,-90.05,0
37601,"STANDARD",0,"Johnson City","","JC","TN","Washington County","America/New_York","423",NA,"US",36.33,-82.36,29350
37602,"PO BOX",0,"Johnson City","","JC","TN","Washington County","America/New_York","423",NA,"US",36.33,-82.36,1105
37604,"STANDARD",0,"Johnson City","","JC","TN","Washington County","America/New_York","423",NA,"US",36.3,-82.38,28120
37605,"PO BOX",0,"Johnson City","","JC","TN","Washington County","America/New_York","423",NA,"US",36.33,-82.36,734
37614,"PO BOX",0,"Johnson City","","East Tn State Univ, Etsu, JC","TN","Washington County","America/New_York","423",NA,"US",36.3,-82.37,287
37615,"STANDARD",0,"Johnson City","Gray","JC","TN","Washington County","America/New_York","423",NA,"US",36.4,-82.46,20310
37616,"STANDARD",0,"Afton","","","TN","Greene County","America/New_York","423",NA,"US",36.23,-82.75,4270
37617,"STANDARD",0,"Blountville","","","TN","Sullivan County","America/New_York","276, 423",NA,"US",36.53,-82.32,12270
37618,"STANDARD",0,"Bluff City","","","TN","Sullivan County","America/New_York","423",NA,"US",36.46,-82.27,10940
37620,"STANDARD",0,"Bristol","","","TN","Sullivan County","America/New_York","276, 423",NA,"US",36.56,-82.19,31840
37621,"PO BOX",0,"Bristol","","","TN","Sullivan County","America/New_York","423",NA,"US",36.56,-82.19,859
37625,"PO BOX",0,"Bristol","","","TN","Sullivan County","America/New_York","423",NA,"US",36.56,-82.19,246
37640,"STANDARD",0,"Butler","","","TN","Johnson County","America/New_York","423, 828",NA,"US",36.31,-82,2940
37641,"STANDARD",0,"Chuckey","","Chucky","TN","Greene County","America/New_York","423, 828",NA,"US",36.24,-82.71,7640
37642,"STANDARD",0,"Church Hill","","","TN","Hawkins County","America/New_York","276, 423",NA,"US",36.52,-82.71,12790
37643,"STANDARD",0,"Elizabethton","","","TN","Carter County","America/New_York","423",NA,"US",36.33,-82.23,26290
37644,"PO BOX",0,"Elizabethton","","","TN","Carter County","America/New_York","423",NA,"US",36.33,-82.23,1082
37645,"STANDARD",0,"Mount Carmel","Church Hill, Mt Carmel","","TN","Hawkins County","America/New_York","423",NA,"US",36.56,-82.65,4840
37650,"STANDARD",0,"Erwin","","","TN","Unicoi County","America/New_York","423, 828",NA,"US",36.14,-82.41,9670
37656,"STANDARD",0,"Fall Branch","","","TN","Washington County","America/New_York","423",NA,"US",36.41,-82.62,3290
37657,"STANDARD",0,"Flag Pond","","","TN","Unicoi County","America/New_York","423, 828",NA,"US",36.01,-82.56,630
37658,"STANDARD",0,"Hampton","","","TN","Carter County","America/New_York","423",NA,"US",36.28,-82.17,3300
37659,"STANDARD",0,"Jonesborough","","Jonesboro","TN","Washington County","America/New_York","423",NA,"US",36.29,-82.47,26360
37660,"STANDARD",0,"Kingsport","","","TN","Sullivan County","America/New_York","276, 423",NA,"US",36.52,-82.55,32270
37662,"PO BOX",0,"Kingsport","","","TN","Sullivan County","America/New_York","423",NA,"US",36.52,-82.55,825
37663,"STANDARD",0,"Kingsport","Colonial Heights, Colonial Hgts","","TN","Sullivan County","America/New_York","423",NA,"US",36.46,-82.49,13630
37664,"STANDARD",0,"Kingsport","","","TN","Sullivan County","America/New_York","423",NA,"US",36.52,-82.5,25180
37665,"STANDARD",0,"Kingsport","","","TN","Sullivan County","America/New_York","276, 423",NA,"US",36.58,-82.57,4050
37669,"UNIQUE",0,"Kingsport","","Kingsport Book","TN","Sullivan County","America/New_York","423",NA,"US",36.52,-82.55,0
37680,"STANDARD",0,"Laurel Bloomery","Laurel Blmry","","TN","Johnson County","America/New_York","276, 336, 423, 743",NA,"US",36.58,-81.73,470
37681,"STANDARD",0,"Limestone","","","TN","Washington County","America/New_York","423",NA,"US",36.22,-82.63,5430
37682,"PO BOX",0,"Milligan College","Milligan, Milligan Coll","","TN","Carter County","America/New_York","423",NA,"US",36.3,-82.29,415
37683,"STANDARD",0,"Mountain City","","","TN","Johnson County","America/New_York","336, 423, 743, 828",NA,"US",36.47,-81.8,8800
37684,"PO BOX",0,"Mountain Home","Mtn Home","","TN","Washington County","America/New_York","423",NA,"US",36.3,-82.36,426
37686,"STANDARD",0,"Piney Flats","","","TN","Sullivan County","America/New_York","423",NA,"US",36.44,-82.34,7900
37687,"STANDARD",0,"Roan Mountain","","","TN","Carter County","America/New_York","423, 828",NA,"US",36.18,-82.07,3580
37688,"STANDARD",0,"Shady Valley","","","TN","Johnson County","America/New_York","276, 423",NA,"US",36.51,-81.92,790
37690,"STANDARD",0,"Telford","","","TN","Washington County","America/New_York","423",NA,"US",36.24,-82.54,3900
37691,"STANDARD",0,"Trade","","","TN","Johnson County","America/New_York","336, 423, 743, 828",NA,"US",36.34,-81.74,700
37692,"STANDARD",0,"Unicoi","","","TN","Unicoi County","America/New_York","423, 828",NA,"US",36.19,-82.35,3930
37694,"STANDARD",0,"Watauga","","","TN","Carter County","America/New_York","423",NA,"US",36.36,-82.29,1550
37699,"UNIQUE",0,"Piney Flats","","Home Shopping Network","TN","Sullivan County","America/New_York","423",NA,"US",36.44,-82.34,0
37701,"STANDARD",0,"Alcoa","","","TN","Blount County","America/New_York","865",NA,"US",35.79,-83.97,7800
37705,"STANDARD",0,"Andersonville","","","TN","Anderson County","America/New_York","423, 865",NA,"US",36.2,-84.04,4670
37707,"PO BOX",0,"Arthur","","","TN","Claiborne County","America/New_York","423",NA,"US",36.54,-83.67,327
37708,"STANDARD",0,"Bean Station","","Tate Springs","TN","Grainger County","America/New_York","423, 865",NA,"US",36.34,-83.28,5790
37709,"STANDARD",0,"Blaine","","","TN","Grainger County","America/New_York","865",NA,"US",36.14,-83.69,3550
37710,"STANDARD",0,"Briceville","Devonia","","TN","Anderson County","America/New_York","423, 865",NA,"US",36.16,-84.3,730
37711,"STANDARD",0,"Bulls Gap","","","TN","Hawkins County","America/New_York","423",NA,"US",36.26,-83.07,4230
37713,"STANDARD",0,"Bybee","","","TN","Cocke County","America/New_York","423",NA,"US",36.04,-83.18,1180
37714,"STANDARD",0,"Caryville","","","TN","Campbell County","America/New_York","423, 865",NA,"US",36.26,-84.3,3540
37715,"STANDARD",0,"Clairfield","","","TN","Claiborne County","America/New_York","423, 606",NA,"US",36.54,-83.95,570
37716,"STANDARD",0,"Clinton","","","TN","Anderson County","America/New_York","865",NA,"US",36.09,-84.13,22380
37717,"PO BOX",0,"Clinton","","","TN","Anderson County","America/New_York","865",NA,"US",36.09,-84.13,835
37719,"PO BOX",0,"Coalfield","","","TN","Morgan County","America/New_York","865",NA,"US",36.02,-84.43,532
37721,"STANDARD",0,"Corryton","","","TN","Knox County","America/New_York","865",NA,"US",36.12,-83.8,12700
37722,"STANDARD",0,"Cosby","","","TN","Cocke County","America/New_York","423, 828, 865",NA,"US",35.81,-83.25,5080
37723,"STANDARD",0,"Crab Orchard","","","TN","Cumberland County","America/Chicago","423, 865, 931",NA,"US",35.9,-84.88,860
37724,"STANDARD",0,"Cumberland Gap","Cumb Gap, Cumberland Gp","","TN","Claiborne County","America/New_York","276, 423, 606",NA,"US",36.55,-83.71,1710
37725,"STANDARD",0,"Dandridge","","","TN","Jefferson County","America/New_York","423, 865",NA,"US",36.02,-83.41,16430
37726,"STANDARD",0,"Deer Lodge","","","TN","Morgan County","America/New_York","423, 931",NA,"US",36.21,-84.83,1640
37727,"STANDARD",0,"Del Rio","","","TN","Cocke County","America/New_York","423, 828",NA,"US",35.91,-83.02,1730
37729,"STANDARD",0,"Duff","La Follette","","TN","Campbell County","America/New_York","423",NA,"US",36.52,-84.03,960
37730,"PO BOX",0,"Eagan","","","TN","Claiborne County","America/New_York","423",NA,"US",36.57,-83.97,131
37731,"STANDARD",0,"Eidson","","","TN","Hawkins County","America/New_York","276, 423, 865",NA,"US",36.5,-83.08,550
37732,"PO BOX",0,"Elgin","","","TN","Scott County","America/New_York","423",NA,"US",36.33,-84.63,277
37733,"PO BOX",0,"Rugby","Elgin","","TN","Morgan County","America/New_York","423",NA,"US",36.36,-84.7,40
37737,"STANDARD",0,"Friendsville","","","TN","Blount County","America/New_York","865",NA,"US",35.75,-84.13,5970
37738,"STANDARD",0,"Gatlinburg","","","TN","Sevier County","America/New_York","423, 828, 865",NA,"US",35.72,-83.49,4930
37742,"STANDARD",0,"Greenback","","","TN","Loudon County","America/New_York","423, 865",NA,"US",35.65,-84.17,5810
37743,"STANDARD",0,"Greeneville","Tusculum Coll","Baileyton","TN","Greene County","America/New_York","423, 828",NA,"US",36.07,-82.86,20810
37744,"PO BOX",0,"Greeneville","","","TN","Greene County","America/New_York","423",NA,"US",36.16,-82.81,957
37745,"STANDARD",0,"Greeneville","Tusculum","Baileyton","TN","Greene County","America/New_York","423",NA,"US",36.16,-82.81,15290
37748,"STANDARD",0,"Harriman","","Emory Gap, Midtown","TN","Roane County","America/New_York","423, 865",NA,"US",35.93,-84.56,14580
37752,"STANDARD",0,"Harrogate","","","TN","Claiborne County","America/New_York","276, 423",NA,"US",36.56,-83.54,4710
37753,"STANDARD",0,"Hartford","","","TN","Cocke County","America/New_York","423, 828",NA,"US",35.81,-83.14,660
37754,"STANDARD",0,"Heiskell","","","TN","Anderson County","America/New_York","865",NA,"US",36.12,-84.04,4280
37755,"STANDARD",0,"Helenwood","","New River","TN","Scott County","America/New_York","423",NA,"US",36.43,-84.56,2660
37756,"STANDARD",0,"Huntsville","Winona","Norma","TN","Scott County","America/New_York","423",NA,"US",36.41,-84.48,2250
37757,"STANDARD",0,"Jacksboro","","","TN","Campbell County","America/New_York","423, 865",NA,"US",36.33,-84.19,8210
37760,"STANDARD",0,"Jefferson City","Jefferson Cty","Jeff City","TN","Jefferson County","America/New_York","865",NA,"US",36.11,-83.48,10730
37762,"STANDARD",0,"Jellico","","","TN","Campbell County","America/New_York","423, 606",NA,"US",36.57,-84.12,2140
37763,"STANDARD",0,"Kingston","","","TN","Roane County","America/New_York","423, 865",NA,"US",35.87,-84.51,14250
37764,"STANDARD",0,"Kodak","","","TN","Sevier County","America/New_York","865",NA,"US",35.97,-83.62,10290
37765,"STANDARD",0,"Kyles Ford","","","TN","Hancock County","America/New_York","276, 423, 865",NA,"US",36.57,-83.06,350
37766,"STANDARD",0,"La Follette","Morley","Lafollette","TN","Campbell County","America/New_York","423, 865",NA,"US",36.37,-84.12,13640
37769,"STANDARD",0,"Rocky Top","Lake City","","TN","Anderson County","America/New_York","423, 865",NA,"US",36.22,-84.15,4910
37770,"STANDARD",0,"Lancing","","","TN","Morgan County","America/New_York","423, 865, 931",NA,"US",36.15,-84.69,2210
37771,"STANDARD",0,"Lenoir City","","","TN","Loudon County","America/New_York","865",NA,"US",35.8,-84.27,15230
37772,"STANDARD",0,"Lenoir City","","","TN","Loudon County","America/New_York","865",NA,"US",35.79,-84.22,12970
37773,"PO BOX",0,"Lone Mountain","","","TN","Claiborne County","America/New_York","423",NA,"US",36.38,-83.58,28
37774,"STANDARD",0,"Loudon","","","TN","Loudon County","America/New_York","423, 865",NA,"US",35.73,-84.35,20320
37777,"STANDARD",0,"Louisville","","Mcghee Tyson Ang Base","TN","Blount County","America/New_York","865",NA,"US",35.82,-84.04,11310
37778,"PO BOX",0,"Lowland","","","TN","Hamblen County","America/New_York","423",NA,"US",36.15,-83.2,0
37779,"STANDARD",0,"Luttrell","Plainview","","TN","Union County","America/New_York","865",NA,"US",36.2,-83.74,3130
37801,"STANDARD",0,"Maryville","","","TN","Blount County","America/New_York","423, 865",NA,"US",35.66,-84.09,26530
37802,"PO BOX",0,"Maryville","","","TN","Blount County","America/New_York","865",NA,"US",35.74,-83.97,1744
37803,"STANDARD",0,"Maryville","","","TN","Blount County","America/New_York","865",NA,"US",35.74,-83.97,31060
37804,"STANDARD",0,"Maryville","","","TN","Blount County","America/New_York","865",NA,"US",35.79,-83.89,23090
37806,"STANDARD",0,"Mascot","","","TN","Knox County","America/New_York","865",NA,"US",36.08,-83.73,2950
37807,"STANDARD",0,"Maynardville","","","TN","Union County","America/New_York","423, 865",NA,"US",36.24,-83.8,8910
37809,"STANDARD",0,"Midway","","","TN","Greene County","America/New_York","423",NA,"US",36.16,-83.04,1820
37810,"STANDARD",0,"Mohawk","","","TN","Greene County","America/New_York","423",NA,"US",36.18,-83.12,1610
37811,"STANDARD",0,"Mooresburg","","","TN","Hawkins County","America/New_York","423, 865",NA,"US",36.34,-83.22,2940
37813,"STANDARD",0,"Morristown","","","TN","Hamblen County","America/New_York","423, 865",NA,"US",36.21,-83.29,14550
37814,"STANDARD",0,"Morristown","","","TN","Hamblen County","America/New_York","423, 865",NA,"US",36.23,-83.34,28000
37815,"PO BOX",0,"Morristown","","","TN","Hamblen County","America/New_York","423",NA,"US",36.21,-83.29,662
37816,"PO BOX",0,"Morristown","","","TN","Hamblen County","America/New_York","423",NA,"US",36.21,-83.29,402
37818,"STANDARD",0,"Mosheim","","","TN","Greene County","America/New_York","423",NA,"US",36.19,-82.95,4360
37819,"STANDARD",0,"Newcomb","","","TN","Campbell County","America/New_York","423, 606",NA,"US",36.54,-84.2,400
37820,"STANDARD",0,"New Market","","","TN","Jefferson County","America/New_York","865",NA,"US",36.09,-83.55,7130
37821,"STANDARD",0,"Newport","Mt Sterling","","TN","Cocke County","America/New_York","423, 865",NA,"US",35.96,-83.19,18210
37822,"PO BOX",0,"Newport","","","TN","Cocke County","America/New_York","423",NA,"US",35.96,-83.19,1178
37824,"PO BOX",0,"New Tazewell","","","TN","Claiborne County","America/New_York","423",NA,"US",36.43,-83.6,2101
37825,"STANDARD",0,"New Tazewell","","","TN","Claiborne County","America/New_York","423, 865",NA,"US",36.43,-83.6,6170
37826,"STANDARD",0,"Niota","","","TN","McMinn County","America/New_York","423",NA,"US",35.51,-84.54,4020
37828,"PO BOX",0,"Norris","","","TN","Anderson County","America/New_York","865",NA,"US",36.21,-84.06,1589
37829,"STANDARD",0,"Oakdale","","","TN","Morgan County","America/New_York","423, 865",NA,"US",36.01,-84.64,1520
37830,"STANDARD",0,"Oak Ridge","","","TN","Anderson County","America/New_York","865",NA,"US",35.96,-84.29,28800
37831,"PO BOX",0,"Oak Ridge","","","TN","Anderson County","America/New_York","865",NA,"US",35.96,-84.29,857
37840,"STANDARD",0,"Oliver Springs","Oliver Spgs","","TN","Roane County","America/New_York","423, 865",NA,"US",36.03,-84.32,7830
37841,"STANDARD",0,"Oneida","","","TN","Scott County","America/New_York","423, 606, 931",NA,"US",36.5,-84.51,7870
37843,"STANDARD",0,"Parrottsville","","","TN","Cocke County","America/New_York","423",NA,"US",36,-83.09,3290
37845,"PO BOX",0,"Petros","","","TN","Morgan County","America/New_York","423, 865",NA,"US",36.09,-84.44,532
37846,"STANDARD",0,"Philadelphia","","","TN","Loudon County","America/New_York","423, 865",NA,"US",35.67,-84.4,4350
37847,"STANDARD",0,"Pioneer","","","TN","Scott County","America/New_York","423",NA,"US",36.46,-84.29,2070
37848,"STANDARD",0,"Powder Springs","Powder Spgs","","TN","Grainger County","America/New_York","865",NA,"US",36.24,-83.66,250
37849,"STANDARD",0,"Powell","","","TN","Knox County","America/New_York","865",NA,"US",36.03,-84.02,25030
37851,"PO BOX",0,"Pruden","","","TN","Claiborne County","America/New_York","423, 606",NA,"US",36.57,-83.79,42
37852,"STANDARD",0,"Robbins","","Glen Mary","TN","Scott County","America/New_York","423, 931",NA,"US",36.32,-84.57,1980
37853,"STANDARD",0,"Rockford","","","TN","Blount County","America/New_York","865",NA,"US",35.82,-83.93,3210
37854,"STANDARD",0,"Rockwood","Ozone","Westel","TN","Roane County","America/New_York","423, 865, 931",NA,"US",35.87,-84.67,10480
37857,"STANDARD",0,"Rogersville","","","TN","Hawkins County","America/New_York","423",NA,"US",36.4,-83,16970
37860,"STANDARD",0,"Russellville","","","TN","Hamblen County","America/New_York","423",NA,"US",36.25,-83.19,3790
37861,"STANDARD",0,"Rutledge","","","TN","Grainger County","America/New_York","423, 865",NA,"US",36.27,-83.52,7220
37862,"STANDARD",0,"Sevierville","Pigeon Forge","","TN","Sevier County","America/New_York","865",NA,"US",35.78,-83.61,19070
37863,"STANDARD",0,"Pigeon Forge","Sevierville","","TN","Sevier County","America/New_York","865",NA,"US",35.79,-83.55,5720
37864,"PO BOX",0,"Sevierville","Pigeon Forge","","TN","Sevier County","America/New_York","865",NA,"US",35.89,-83.57,2197
37865,"STANDARD",0,"Seymour","","","TN","Sevier County","America/New_York","865",NA,"US",35.87,-83.77,21370
37866,"STANDARD",0,"Sharps Chapel","","","TN","Union County","America/New_York","423, 865",NA,"US",36.34,-83.8,1740
37867,"PO BOX",0,"Shawanee","","","TN","Claiborne County","America/New_York","423",NA,"US",36.57,-83.55,90
37868,"PO BOX",0,"Pigeon Forge","Sevierville","","TN","Sevier County","America/New_York","865",NA,"US",35.79,-83.55,1206
37869,"STANDARD",0,"Sneedville","","","TN","Hancock County","America/New_York","276, 423, 865",NA,"US",36.53,-83.21,3800
37870,"STANDARD",0,"Speedwell","","","TN","Claiborne County","America/New_York","423, 865",NA,"US",36.47,-83.81,3330
37871,"STANDARD",0,"Strawberry Plains","Straw Plains","","TN","Jefferson County","America/New_York","865",NA,"US",36.06,-83.68,8340
37872,"STANDARD",0,"Sunbright","","Burrville","TN","Morgan County","America/New_York","423, 931",NA,"US",36.24,-84.67,1840
37873,"STANDARD",0,"Surgoinsville","","","TN","Hawkins County","America/New_York","276, 423",NA,"US",36.47,-82.85,3410
37874,"STANDARD",0,"Sweetwater","","","TN","Monroe County","America/New_York","423, 865",NA,"US",35.6,-84.46,13380
37876,"STANDARD",0,"Sevierville","Pigeon Forge, Pittman Center, Pittman Ctr","","TN","Sevier County","America/New_York","423, 865",NA,"US",35.89,-83.57,27990
37877,"STANDARD",0,"Talbott","","","TN","Hamblen County","America/New_York","423, 865",NA,"US",36.14,-83.4,8030
37878,"STANDARD",0,"Tallassee","","Happy Valley","TN","Blount County","America/New_York","423, 865",NA,"US",35.6,-83.98,380
37879,"STANDARD",0,"Tazewell","","","TN","Claiborne County","America/New_York","276, 423, 865",NA,"US",36.45,-83.57,8310
37880,"STANDARD",0,"Ten Mile","","","TN","Meigs County","America/New_York","423, 865",NA,"US",35.66,-84.66,3220
37881,"STANDARD",0,"Thorn Hill","Treadway","","TN","Grainger County","America/New_York","423, 865",NA,"US",36.35,-83.41,1820
37882,"STANDARD",0,"Townsend","","","TN","Blount County","America/New_York","423, 828, 865",NA,"US",35.67,-83.75,2740
37885,"STANDARD",0,"Vonore","","","TN","Monroe County","America/New_York","423, 828, 865",NA,"US",35.59,-84.23,5390
37886,"STANDARD",0,"Walland","","","TN","Blount County","America/New_York","865",NA,"US",35.72,-83.81,3940
37887,"STANDARD",0,"Wartburg","","","TN","Morgan County","America/New_York","423, 865, 931",NA,"US",36.1,-84.58,4450
37888,"STANDARD",0,"Washburn","","","TN","Grainger County","America/New_York","423, 865",NA,"US",36.31,-83.59,2270
37890,"STANDARD",0,"White Pine","Baneberry","","TN","Jefferson County","America/New_York","423, 865",NA,"US",36.09,-83.29,6280
37891,"STANDARD",0,"Whitesburg","","","TN","Hamblen County","America/New_York","423",NA,"US",36.29,-83.13,3050
37892,"STANDARD",0,"Winfield","","","TN","Scott County","America/New_York","423, 606",NA,"US",36.56,-84.45,1560
37901,"PO BOX",0,"Knoxville","","Knox","TN","Knox County","America/New_York","865",NA,"US",35.97,-83.94,488
37902,"STANDARD",0,"Knoxville","","","TN","Knox County","America/New_York","865",NA,"US",35.96,-83.92,1470
37909,"STANDARD",0,"Knoxville","","","TN","Knox County","America/New_York","865",NA,"US",35.95,-84.02,13110
37912,"STANDARD",0,"Knoxville","","","TN","Knox County","America/New_York","865",NA,"US",36.01,-83.98,18780
37914,"STANDARD",0,"Knoxville","","","TN","Knox County","America/New_York","865",NA,"US",35.98,-83.8,17480
37915,"STANDARD",0,"Knoxville","","","TN","Knox County","America/New_York","865",NA,"US",35.97,-83.9,3760
37916,"STANDARD",0,"Knoxville","","","TN","Knox County","America/New_York","865",NA,"US",35.95,-83.93,1010
37917,"STANDARD",0,"Knoxville","","","TN","Knox County","America/New_York","865",NA,"US",36,-83.91,18300
37918,"STANDARD",0,"Knoxville","","","TN","Knox County","America/New_York","865",NA,"US",36.06,-83.92,39730
37919,"STANDARD",0,"Knoxville","","","TN","Knox County","America/New_York","865",NA,"US",35.91,-84,26410
37920,"STANDARD",0,"Knoxville","Kimberlin Heights, Kimberlin Hgt","","TN","Knox County","America/New_York","865",NA,"US",35.91,-83.87,32350
37921,"STANDARD",0,"Knoxville","","","TN","Knox County","America/New_York","865",NA,"US",35.97,-83.94,24000
37922,"STANDARD",0,"Knoxville","Concord, Concord Farr, Concord Farragut","","TN","Knox County","America/New_York","865",NA,"US",35.86,-84.1,39220
37923,"STANDARD",0,"Knoxville","","","TN","Knox County","America/New_York","865",NA,"US",35.93,-84.08,26860
37924,"STANDARD",0,"Knoxville","","","TN","Knox County","America/New_York","865",NA,"US",36.03,-83.8,11800
37927,"PO BOX",0,"Knoxville","","","TN","Knox County","America/New_York","865",NA,"US",35.97,-83.94,612
37928,"PO BOX",0,"Knoxville","","","TN","Knox County","America/New_York","865",NA,"US",35.97,-83.94,565
37929,"STANDARD",0,"Knoxville","","Plaza Tower","TN","Knox County","America/New_York","865",NA,"US",35.96,-83.92,0
37930,"PO BOX",0,"Knoxville","","","TN","Knox County","America/New_York","865",NA,"US",35.97,-83.94,906
37931,"STANDARD",0,"Knoxville","","","TN","Knox County","America/New_York","865",NA,"US",35.98,-84.13,29530
37932,"STANDARD",0,"Knoxville","","","TN","Knox County","America/New_York","865",NA,"US",35.92,-84.2,22510
37933,"PO BOX",0,"Knoxville","Farragut","Concord Farragut","TN","Knox County","America/New_York","865",NA,"US",35.97,-83.94,750
37934,"STANDARD",0,"Farragut","Concord, Knoxville","Concord Farr, Concord Farragut, Knox, Knx, Kville","TN","Knox County","America/New_York","865",NA,"US",35.87,-84.17,27040
37938,"STANDARD",0,"Knoxville","","","TN","Knox County","America/New_York","865",NA,"US",36.12,-83.94,17900
37939,"PO BOX",0,"Knoxville","","","TN","Knox County","America/New_York","865",NA,"US",35.97,-83.94,491
37940,"PO BOX",0,"Knoxville","","","TN","Knox County","America/New_York","865",NA,"US",35.97,-83.94,654
37950,"PO BOX",0,"Knoxville","","","TN","Knox County","America/New_York","865",NA,"US",35.97,-83.94,1031
37990,"UNIQUE",1,"Knoxville","","The Mail Box","TN","Knox County","America/New_York","865",NA,"US",35.86,-84.12,0
37995,"UNIQUE",0,"Knoxville","","First Tenn National Bank","TN","Knox County","America/New_York","865",NA,"US",35.97,-83.94,36
37996,"UNIQUE",0,"Knoxville","","University Of Tenn","TN","Knox County","America/New_York","865",NA,"US",35.97,-83.94,90
37997,"UNIQUE",0,"Knoxville","","Suntrust Bank","TN","Knox County","America/New_York","865",NA,"US",35.97,-83.94,0
37998,"UNIQUE",0,"Knoxville","","Johnson Bible College","TN","Knox County","America/New_York","865",NA,"US",35.97,-83.94,344
38001,"STANDARD",0,"Alamo","","","TN","Crockett County","America/Chicago","731",NA,"US",35.78,-89.11,3770
38002,"STANDARD",0,"Arlington","Bartlett, Lakeland","","TN","Shelby County","America/Chicago","901",NA,"US",35.28,-89.66,43430
38004,"STANDARD",0,"Atoka","","Crosstown","TN","Tipton County","America/Chicago","901",NA,"US",35.44,-89.77,11370
38006,"STANDARD",0,"Bells","","","TN","Crockett County","America/Chicago","731",NA,"US",35.71,-89.08,4650
38007,"PO BOX",0,"Bogota","","","TN","Dyer County","America/Chicago","731",NA,"US",36.16,-89.44,157
38008,"STANDARD",0,"Bolivar","","","TN","Hardeman County","America/Chicago","731",NA,"US",35.26,-88.99,7720
38010,"PO BOX",0,"Braden","","","TN","Fayette County","America/Chicago","901",NA,"US",35.36,-89.57,18
38011,"STANDARD",0,"Brighton","","","TN","Tipton County","America/Chicago","901",NA,"US",35.47,-89.73,8610
38012,"STANDARD",0,"Brownsville","","","TN","Haywood County","America/Chicago","731, 901",NA,"US",35.59,-89.25,11770
38014,"PO BOX",0,"Brunswick","","","TN","Shelby County","America/Chicago","901",NA,"US",35.28,-89.72,173
38015,"STANDARD",0,"Burlison","Gilt Edge","Randolph","TN","Tipton County","America/Chicago","731, 901",NA,"US",35.55,-89.78,2340
38016,"STANDARD",0,"Cordova","","","TN","Shelby County","America/Chicago","901",NA,"US",35.18,-89.76,41840
38017,"STANDARD",0,"Collierville","Fisherville, Piperton","","TN","Shelby County","America/Chicago","662, 901",NA,"US",35.05,-89.67,54840
38018,"STANDARD",0,"Cordova","","","TN","Shelby County","America/Chicago","901",NA,"US",35.15,-89.75,33050
38019,"STANDARD",0,"Covington","Garland","","TN","Tipton County","America/Chicago","731, 901",NA,"US",35.56,-89.64,12660
38021,"PO BOX",0,"Crockett Mills","Crockett Mls","","TN","Crockett County","America/Chicago","731",NA,"US",35.87,-89.18,180
38023,"STANDARD",0,"Drummonds","","","TN","Tipton County","America/Chicago","731, 870, 901",NA,"US",35.46,-89.94,4870
38024,"STANDARD",0,"Dyersburg","","","TN","Dyer County","America/Chicago","731",NA,"US",36.03,-89.38,21730
38025,"PO BOX",0,"Dyersburg","","","TN","Dyer County","America/Chicago","731",NA,"US",36.03,-89.38,924
38027,"PO BOX",0,"Collierville","","Colliervl, Colliervle, Fisherville, Piperton","TN","Shelby County","America/Chicago","901",NA,"US",35.05,-89.67,694
38028,"STANDARD",0,"Eads","","","TN","Fayette County","America/Chicago","901",NA,"US",35.2,-89.66,7180
38029,"PO BOX",0,"Ellendale","","","TN","Shelby County","America/Chicago","901",NA,"US",35.24,-89.82,445
38030,"STANDARD",0,"Finley","","","TN","Dyer County","America/Chicago","573, 731, 870",NA,"US",35.98,-89.58,660
38034,"STANDARD",0,"Friendship","","","TN","Crockett County","America/Chicago","731",NA,"US",35.91,-89.24,2420
38036,"PO BOX",0,"Gallaway","","","TN","Fayette County","America/Chicago","901",NA,"US",35.33,-89.62,407
38037,"STANDARD",0,"Gates","","","TN","Lauderdale County","America/Chicago","731",NA,"US",35.83,-89.4,1380
38039,"STANDARD",0,"Grand Junction","Grand Jct","","TN","Hardeman County","America/Chicago","662, 731, 901",NA,"US",35.04,-89.18,1600
